source,target,relation,weight
指缝偏开,消费弹性大,倾向,0.82
指缝偏开,预算约束,建议,0.78
指缝偏紧,守成理财,倾向,0.80
生命线断续,精力波动,关联,0.86
生命线分叉,生活重心迁移,关联,0.74
智慧线平直,逻辑执行,倾向,0.83
智慧线下垂,创意感受力,倾向,0.79
感情线断续,关系沟通成本上升,关联,0.84
事业线断续,职业阶段切换,关联,0.88
事业线分叉,多路径发展,关联,0.81
太阳线清晰,外部认可度,关联,0.76
太阳线不明显,展示渠道建设,建议,0.70
婚姻线多条浅,关系边界管理,建议,0.72
拇指土行,根基稳定,关联,0.84
拇指土行,父母养护,关联,0.78
震位,家产判断,关联,0.74
艮位,家宅风水,关联,0.72
艮位,父母兄弟缘分,关联,0.71
食指木行,生发扩张,关联,0.82
食指木行,婚姻基础,关联,0.77
巽位,财运观察,关联,0.79
巽位,灵感活跃,关联,0.73
中指火行,功名事业,关联,0.86
中指火行,心智消耗,关联,0.75
离位,事业通畅度,关联,0.81
离位,心性判断,关联,0.74
无名指金行,团队协同,关联,0.82
无名指金行,竞争压力,关联,0.80
太阳线,中年事业呈现,关联,0.83
无名指下财库,守财能力,关联,0.76
小指水行,子女家庭,关联,0.84
小指水行,精神波动,关联,0.78
坤位,家庭运观察,关联,0.80
坤位,欲望管理,建议,0.68
左手阳干,外部行动,关联,0.70
右手阴干,内部状态,关联,0.70
先天信息,家庭六亲宫,关联,0.76
后天信息,个人发展轨迹,关联,0.82
指甲修长,耐力与理想性,关联,0.79
指甲修短,急躁与快反应,关联,0.76
指甲过长,抵抗力偏弱,关联,0.72
阔型指甲,免疫能力较强,关联,0.75
圆形指甲,性格坦率公平,关联,0.70
窄型指甲,敏感与体力偏弱,关联,0.74
厚指甲,胆大执行,关联,0.71
薄指甲,易疲倦恢复慢,关联,0.78
指甲太薄,神经敏感,关联,0.81
